ID,LEVEL,Required_Exp
21002,2,66
21003,3,34
21004,4,50
21005,5,70
21006,6,80
21007,7,90
21008,8,100
21009,9,110
21010,10,120
21011,11,130
21012,12,145
21013,13,150
21014,14,155
21015,15,170
21016,16,180
21017,17,90
21018,18,120
21019,19,120
21020,20,119
21021,21,130
21022,22,135
21023,23,140
21024,24,145
21025,25,150
21026,26,155
21027,27,160
21028,28,165
21029,29,170
21030,30,175
21031,31,180
21032,32,185
21033,33,190
21034,34,195
21035,35,200
21036,36,205
21037,37,210
21038,38,215
21039,39,220
21040,40,225
21041,41,230
21042,42,235
21043,43,240
21044,44,245
21045,45,250
21046,46,255
21047,47,260
21048,48,265
21049,49,270
21050,50,275
21051,51,280
21052,52,285
21053,53,290
21054,54,295
21055,55,300
21056,56,305
21057,57,310
21058,58,315
21059,59,320
21060,60,325
