ID,Effect_code,Val,Effect_Cycle,Effect_Persent,Stackable
12001,1,50,3,100,0
12002,1,-70,1,100,0
12003,4,10,0,100,0
12004,7,25,0,100,0
12005,4,80,0,100,0
12006,2,150,0,100,0
12007,5,120,0,35,0
12008,6,-25,0,100,0
12009,1,12,1,100,0
12010,1,15,1,100,0
12011,8,35,0,100,0
12012,6,-999,0,20,0
12013,9,5,0,100,0
12014,2,10,0,100,0
12015,4,25,0,100,0
12016,6,30,0,100,0
12017,6,20,0,100,0
12018,6,40,0,100,0
12019,10,0,0,100,0
12020,11,2,0,100,0
12021,6,0,0,100,0
12022,13,0,0,100,0
12023,3,0.2,0,100,0
12024,2,0.2,0,100,0
12025,14,0.25,0,100,0
12026,15,0.25,0,100,0
12027,16,0.25,0,100,0
12028,17,0.25,0,100,0
12029,18,0.25,0,100,0
12030,2,0.25,0,100,0
12031,5,0.3,0,100,0
12032,1,0.3,0,100,0
12033,19,0.05,0,100,0
12034,20,0.05,0,100,0
12035,21,0.12,0,100,0
12036,2,0.1,0,100,0
12037,3,0.15,0,100,0
12038,1,0.01,1,100,0
12039,6,0.25,0,100,0
12040,4,0.15,0,100,0
