Item_ID,Item_Name,//Item_Name_text,Item_Type,Category,Stack_Limit,sell_Availability,Sell_Value,Icon_Path,Description,Connection_Id
240001,,골드,,,,,,"Assets/GUI/Modern RPG GUI Pack/Modern RPG GUI Resources/SlicedElements/02Scene1/Icon_Coin.png",,
240002,,경험치,,,,,,"Assets/GUI/Modern RPG GUI Pack/Modern RPG GUI Resources/SlicedElements/14Victory/EXP_.png",,
240003,,다이아,,,,,,"Assets/GUI/Modern RPG GUI Pack/Modern RPG GUI Resources/SlicedElements/02Scene1/Icon_Diamond.png",,
2420004,6267,목성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Jupiter_Piece.png,,1006
2420005,6268,아메리온 조각,2,3,999,1,,Assets/PlanetpiecePNG/Amerion_Piece.png,,1010
2420006,6269,테라 조각,2,3,999,1,,Assets/PlanetpiecePNG/Terra_Piece.png,,1005
2420007,6270,토성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Saturn_Piece.png,,1007
2420008,6271,명왕성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Pluto_Piece.png,,1011
2420009,6272,화성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Mars_Piece.png,,1002
2420010,6273,천왕성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Uranus_Piece.png,,1008
2420011,6274,세드나 조각,2,3,999,1,,Assets/PlanetpiecePNG/Sedna_Piece.png,,1012
2420012,6275,루미실라 조각,2,3,999,1,,Assets/PlanetpiecePNG/Lumicilla_Piece.png,,1015
2420013,6276,지구 조각,2,3,999,1,,Assets/PlanetpiecePNG/Earth_Piece.png,,1001
2420014,6277,금성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Venus_Piece.png,,1003
2420015,6278,수성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Mercury_Piece.png,,1004
2420016,6279,해왕성 조각,2,3,999,1,,Assets/PlanetpiecePNG/Neptune_Piece.png,,1009
2420017,6280,에리스 조각,2,3,999,1,,Assets/PlanetpiecePNG/Elis_Piece.png,,1013
2420018,6281,세레스 조각,2,3,999,1,,Assets/PlanetpiecePNG/Ceres_Piece.png,,1014
2420019,6282,솔라레이저 부품,2,4,999,1,,Assets/TowerpartsPNG/Solar_Laser_Parts.png,,
2420020,6283,다크레이저 부품,2,4,999,1,,Assets/TowerpartsPNG/Dark_Laser_Parts.png,,
2420021,6284,헬파이어건 부품,2,4,999,1,,Assets/TowerpartsPNG/Hellfire_Gun_Parts.png,,
2420022,6285,프로스트리피터 부품,2,4,999,1,,Assets/TowerpartsPNG/Frost_Repeater_Parts.png,,
2420023,6286,버스트 블래스터 부품,2,4,999,1,,Assets/TowerpartsPNG/Burst_Blaster_Parts.png,,
2420024,6287,쉐도우 버스터 부품,2,4,999,1,,Assets/TowerpartsPNG/Shadow_Buster_Parts.png,,
2420025,6288,볼케이노 런처 부품,2,4,999,1,,Assets/TowerpartsPNG/Volcano_Launcher_Parts.png,,
2420026,6289,아이스레인저 부품,2,4,999,1,,Assets/TowerpartsPNG/Ice_Ranger_Parts.png,,
2420027,6290,루미나 스나이퍼 부품,2,4,999,1,,Assets/TowerpartsPNG/Lumina_Sniper_Parts.png,,
2420028,6291,스틸 리퍼 부품,2,4,999,1,,Assets/TowerpartsPNG/Steel_Reaper_Parts.png,,
2420029,6292,마그마 봄버 부품,2,4,999,1,,Assets/TowerpartsPNG/Magma_Bomber_Parts.png,,
2420030,6293,프로스트 봄버 부품,2,4,999,1,,Assets/TowerpartsPNG/Frost_Bomber_Parts.png,,
2420031,6294,아이언 마인 부품,2,4,999,1,,Assets/TowerpartsPNG/Iron_Mine_Parts.png,,
2420032,6295,블랙마인 부품,2,4,999,1,,Assets/TowerpartsPNG/Black_Mine_Parts.png,,
2420033,6296,서지리엑터 부품,2,4,999,1,,Assets/TowerpartsPNG/Surge_Reactor_Parts.png,,
2420034,6297,쉐도우 서지 부품,2,4,999,1,,Assets/TowerpartsPNG/Shadow_Surge_Parts.png,,
2420035,6298,그래비티 필드 부품,2,4,999,1,,Assets/TowerpartsPNG/Gravity_Field_Parts.png,,
2420036,6299,그래비티 싱크 부품,2,4,999,1,,Assets/TowerpartsPNG/Gravity_Sink_Parts.png,,
2420037,6300,딜레이 필드 부품,2,4,999,1,,Assets/TowerpartsPNG/Delay_Field_Parts.png,,
2420038,6301,어비스 코어 부품,2,4,999,1,,Assets/TowerpartsPNG/Abys_Core_Parts.png,,
2420039,6302,디펜스 드론 부품,2,4,999,1,,Assets/TowerpartsPNG/Defense_Drone_Parts.png,,
2420040,6303,리펄서 부품,2,4,999,1,,Assets/TowerpartsPNG/Repulsor_Parts.png,,
2420041,6304,쇼크 웨이브 부품,2,4,999,1,,Assets/TowerpartsPNG/Shockwave_Parts.png,,
2420042,6305,카오스 비컨 부품,2,4,999,1,,Assets/TowerpartsPNG/Chaos_Beacon_Parts.png,,
2450043,6308,행성 뽑기권,1,5,999,0,,Assets/Draw_png/planet_ticket.png,,
2450044,6309,타워 뽑기권,1,5,999,0,,Assets/Draw_png/tower_ticket.png,,
2460045,6310,A-B등급 행성 조각 뽑기,4,6,1,0,,Assets/Draw_png/random_box.png,,
