ID,Planet_ID,Grade,Value,Time,Cool_Time
14001,1001,1,50,7,10
14002,1001,2,52,7,10
14003,1001,3,53,7,9
14004,1001,4,55,8,9
14005,1001,5,56,8,9
14006,1002,1,-70,5,0
14007,1002,2,-74,5,0
14008,1002,3,-77,6,0
14009,1002,4,-81,6,0
14010,1002,5,-85,6,0
14011,1003,1,10,10,1
14012,1003,2,10,10,1
14013,1003,3,11,11,1
14014,1003,4,11,11,1
14015,1003,5,11,11,1
14016,1004,1,25,0,3
14017,1004,2,26,0,3
14018,1004,3,27,0,3
14019,1004,4,27,0,3
14020,1004,5,28,0,3
14021,1005,1,80,5,10
14022,1005,2,86,5,9
14023,1005,3,92,6,9
14024,1005,4,98,6,8
14025,1005,5,105,7,7
14026,1006,1,150,5,15
14027,1006,2,165,6,14
14028,1006,3,182,6,12
14029,1006,4,200,7,11
14030,1006,5,220,7,10
14031,1007,1,120,0,0
14032,1007,2,128,0,0
14033,1007,3,137,0,0
14034,1007,4,147,0,0
14035,1007,5,157,0,0
14036,1008,1,-25,5,0
14037,1008,2,-26,5,0
14038,1008,3,-28,6,0
14039,1008,4,-29,6,0
14040,1008,5,-30,6,0
14041,1009,1,12,0,5
14042,1009,2,12,0,5
14043,1009,3,13,0,5
14044,1009,4,13,0,5
14045,1009,5,14,0,4
14046,1010,1,15,0,3
14047,1010,2,17,0,3
14048,1010,3,18,0,2
14049,1010,4,20,0,2
14050,1010,5,22,0,2
14051,1011,1,35,30,15
14052,1011,2,37,32,14
14053,1011,3,40,34,13
14054,1011,4,43,37,12
14055,1011,5,46,39,11
14056,1012,1,-999,2,0
14057,1012,2,-999,2,0
14058,1012,3,-999,2,0
14059,1012,4,-999,2,0
14060,1012,5,-999,2,0
14061,1013,1,5,0,0
14062,1013,2,5,0,0
14063,1013,3,5,0,0
14064,1013,4,5,0,0
14065,1013,5,6,0,0
14066,1014,1,10,10,10
14067,1014,2,10,10,10
14068,1014,3,11,11,9
14069,1014,4,11,11,9
14070,1014,5,11,11,9
14071,1015,1,25,10,10
14072,1015,2,26,11,10
14073,1015,3,28,11,9
14074,1015,4,29,12,9
14075,1015,5,30,12,8
