reward_id,//reward_name,reward_name_id,G_item_id,item_type,grade,reward_type,amount,tower_random_id,probability,connection_id
171001,목성,6006,1006,1,1,1,1,,0.03,1006
171001,목성 조각 1개,6267,1820001,1,1,2,1,,0.30,1006
171001,목성 조각 2개,6267,1820001,1,1,2,2,,0.17,1006
171001,아메리온,6010,1010,1,1,1,1,,0.03,1010
171001,아메리온 조각 1개,6268,1820002,1,1,2,1,,0.30,1010
171001,아메리온 조각 2개,6268,1820002,1,1,2,2,,0.17,1010
171001,테라,6005,1005,1,2,1,1,,0.07,1005
171001,테라 조각 1개,6269,1820003,1,2,2,1,,0.67,1005
171001,테라 조각 2개,6269,1820003,1,2,2,2,,0.37,1005
171001,테라 조각 3개,6269,1820003,1,2,2,3,,0.22,1005
171001,토성,6007,1007,1,2,1,1,,0.07,1007
171001,토성 조각 1개,6270,1820004,1,2,2,1,,0.67,1007
171001,토성 조각 2개,6270,1820004,1,2,2,2,,0.37,1007
171001,토성 조각 3개,6270,1820004,1,2,2,3,,0.22,1007
171001,명왕성,6011,1011,1,2,1,1,,0.07,1011
171001,명왕성 조각 1개,6271,1820005,1,2,2,1,,0.67,1011
171001,명왕성 조각 2개,6271,1820005,1,2,2,2,,0.37,1011
171001,명왕성 조각 3개,6271,1820005,1,2,2,3,,0.22,1011
171001,화성,6002,1002,1,3,1,1,,0.31,1002
171001,화성 조각 1개,6272,1820006,1,3,2,1,,2.81,1002
171001,화성 조각 2개,6272,1820006,1,3,2,2,,1.56,1002
171001,화성 조각 3개,6272,1820006,1,3,2,3,,0.94,1002
171001,화성 조각 4개,6272,1820006,1,3,2,4,,0.63,1002
171001,천왕성,6008,1008,1,3,1,1,,0.31,1008
171001,천왕성 조각 1개,6273,1820007,1,3,2,1,,2.81,1008
171001,천왕성 조각 2개,6273,1820007,1,3,2,2,,1.56,1008
171001,천왕성 조각 3개,6273,1820007,1,3,2,3,,0.94,1008
171001,천왕성 조각 4개,6273,1820007,1,3,2,4,,0.63,1008
171001,세드나,6012,1012,1,3,1,1,,0.31,1012
171001,세드나 조각 1개,6274,1820008,1,3,2,1,,2.81,1012
171001,세드나 조각 2개,6274,1820008,1,3,2,2,,1.56,1012
171001,세드나 조각 3개,6274,1820008,1,3,2,3,,0.94,1012
171001,세드나 조각 4개,6274,1820008,1,3,2,4,,0.63,1012
171001,루미실라,6015,1015,1,3,1,1,,0.31,1015
171001,루미실라 조각 1개,6275,1820009,1,3,2,1,,2.81,1015
171001,루미실라 조각 2개,6275,1820009,1,3,2,2,,1.56,1015
171001,루미실라 조각 3개,6275,1820009,1,3,2,3,,0.94,1015
171001,루미실라 조각 4개,6275,1820009,1,3,2,4,,0.63,1015
171001,지구,6001,1001,1,4,1,1,,0.58,1001
171001,지구 조각 1개,6276,1820010,1,4,2,1,,4.43,1001
171001,지구 조각 2개,6276,1820010,1,4,2,2,,2.92,1001
171001,지구 조각 3개,6276,1820010,1,4,2,3,,1.75,1001
171001,지구 조각 4개,6276,1820010,1,4,2,4,,1.17,1001
171001,지구 조각 5개,6276,1820010,1,4,2,5,,0.82,1001
171001,금성,6003,1003,1,4,1,1,,0.58,1003
171001,금성 조각 1개,6277,1820011,1,4,2,1,,4.43,1003
171001,금성 조각 2개,6277,1820011,1,4,2,2,,2.92,1003
