Rewerd_ID,item_ID,//item_name_text,Item_name,value,Stackable,Stackable_MAX
1820001,2420004,목성 조각,6267,2,1,25
1820002,2420005,아메리온 조각,6268,2,1,25
1820003,2420006,테라 조각,6269,2,1,30
1820004,2420007,토성 조각,6270,2,1,30
1820005,2420008,명왕성 조각,6271,2,1,30
1820006,2420009,화성 조각,6272,2,1,38
1820007,2420010,천왕성 조각,6273,2,1,38
1820008,2420011,세드나 조각,6274,2,1,38
1820009,2420012,루미실라 조각,6275,2,1,38
1820010,2420013,지구 조각,6276,2,1,50
1820011,2420014,금성 조각,6277,2,1,50
1820012,2420015,수성 조각,6278,2,1,50
1820013,2420016,해왕성 조각,6279,2,1,50
1820014,2420017,에리스 조각,6280,2,1,50
1820015,2420018,세레스 조각,6281,2,1,50
1810016,,골드,,1,1,999999999
1810017,,다이아,,1,1,999999999
1830018,2001,솔라레이저,6024,3,1,250
1830019,2002,다크레이저,6025,3,1,250
1830020,2003,헬파이어건,6026,3,1,250
1830021,2004,프로스트리피터,6027,3,1,250
1830022,2005,버스트 블래스터,6028,3,1,250
1830023,2006,쉐도우 버스터,6029,3,1,250
1830024,2007,볼케이노 런처,6030,3,1,250
1830025,2008,아이스레인저,6031,3,1,250
1830026,2009,루미나 스나이퍼,6032,3,1,250
1830027,2010,스틸 리퍼,6033,3,1,250
1830028,2011,마그마 봄버,6034,3,1,250
1830029,2012,프로스트 봄버,6035,3,1,250
1830030,2013,아이언 마인,6036,3,1,250
1830031,2014,블랙마인,6037,3,1,250
1830032,2015,서지리엑터,6038,3,1,250
1830033,2016,쉐도우 서지,6039,3,1,250
1840034,1001,지구,6001,4,1,5
1840035,1002,화성,6002,4,1,5
1840036,1003,금성,6003,4,1,5
1840037,1004,수성,6004,4,1,5
1840038,1005,테라,6005,4,1,5
1840039,1006,목성,6006,4,1,5
1840040,1007,토성,6007,4,1,5
1840041,1008,천왕성,6008,4,1,5
1840042,1009,해왕성,6009,4,1,5
1840043,1010,아메리온,6010,4,1,5
1840044,1011,명왕성,6011,4,1,5
1840045,1012,세드나,6012,4,1,5
1840046,1013,에리스,6013,4,1,5
1840047,1014,세레스,6014,4,1,5
1840048,1015,루미실라,6015,4,1,5
1830049,23001,그래비티 필드,6259,3,1,250
1830050,23002,그래비티 싱크,6260,3,1,250
1830051,23003,딜레이 필드,6261,3,1,250
1830052,23004,어비스 코어,6262,3,1,250
1830053,23005,디펜스 드론,6263,3,1,250
1830054,23006,리펄서,6264,3,1,250
1830055,23007,쇼크 웨이브,6265,3,1,250
1830056,23008,카오스 비컨,6266,3,1,250
