Rewerd_ID,item_ID,value,Stackable,Stackable_MAX
1820001,2420004,6267,2,25
1820002,2420005,6268,2,25
1820003,2420006,6269,2,30
1820004,2420007,6270,2,30
1820005,2420008,6271,2,30
1820006,2420009,6272,2,38
1820007,2420010,6273,2,38
1820008,2420011,6274,2,38
1820009,2420012,6275,2,38
1820010,2420013,6276,2,50
1820011,2420014,6277,2,50
1820012,2420015,6278,2,50
1820013,2420016,6279,2,50
1820014,2420017,6280,2,50
1820015,2420018,6281,2,50
1810016,0,0,1,999999999
1810017,0,0,1,999999999
1830018,2001,6024,3,250
1830019,2002,6025,3,250
1830020,2003,6026,3,250
1830021,2004,6027,3,250
1830022,2005,6028,3,250
1830023,2006,6029,3,250
1830024,2007,6030,3,250
1830025,2008,6031,3,250
1830026,2009,6032,3,250
1830027,2010,6033,3,250
1830028,2011,6034,3,250
1830029,2012,6035,3,250
1830030,2013,6036,3,250
1830031,2014,6037,3,250
1830032,2015,6038,3,250
1830033,2016,6039,3,250
1840034,1001,6001,4,5
1840035,1002,6002,4,5
1840036,1003,6003,4,5
1840037,1004,6004,4,5
1840038,1005,6005,4,5
1840039,1006,6006,4,5
1840040,1007,6007,4,5
1840041,1008,6008,4,5
1840042,1009,6009,4,5
1840043,1010,6010,4,5
1840044,1011,6011,4,5
1840045,1012,6012,4,5
1840046,1013,6013,4,5
1840047,1014,6014,4,5
1840048,1015,6015,4,5
1830049,23001,6259,3,250
1830050,23002,6260,3,250
1830051,23003,6261,3,250
1830052,23004,6262,3,250
1830053,23005,6263,3,250
1830054,23006,6264,3,250
1830055,23007,6265,3,250
1830056,23008,6266,3,250
