STAGE_ID,STAGE_NAME,STAGE_TIME,WAVE_COUNT,EXP_MULTIPLES,DIFFICULTY_MULTIPLES,CLEAR_REWARD1,CLEAR_REWARD1_COUNT,CLEAR_REWARD2,CLEAR_REWARD2_COUNT,CLEAR_REWARD3,CLEAR_REWARD3_COUNT,STAGE_IMAGE
22001,1스테이지,100,10,1,0,1,600,2,400,3,20,SCI-FI UI PACK_V2 PRO(CYAN)/Textures/SciFiBgs(2K)/SciFiBg001_Cyan
22002,2스테이지,600,60,1,0,1,700,2,500,3,30,SCI-FI UI PACK_V1 PRO(Blue)/Textures/SciFiBgs(2K)/SciFiBg002_Blue
22003,3스테이지,600,60,1,0,1,800,2,600,3,40,SCI-FI UI PACK_V2 PRO(CYAN)/Textures/SciFiBgs(2K)/SciFiBg002_Cyan
22004,4스테이지,600,60,1,0,1,900,2,700,3,50,SCI-FI UI PACK_V2 PRO(CYAN)/Textures/SciFiBgs(2K)/SciFiBg004_Cyan
22005,5스테이지,600,60,1.2,0.2,1,1000,2,800,3,60,SCI-FI UI PACK_V2 PRO(CYAN)/Textures/SciFiBgs(2K)/SciFiBg012_Cyan
22006,6스테이지,600,60,1.2,0.3,1,1100,2,900,3,70,SCI-FI UI PACK_V1 PRO(Blue)/Textures/SciFiBgs(2K)/SciFiBg012_Blue
22007,7스테이지,600,60,1.5,0.5,1,1200,2,1000,3,80,SCI-FI UI PACK_V1 PRO(Blue)/Textures/SciFiBgs(2K)/SciFiBg011_Blue
22008,8스테이지,600,60,1.5,0.7,1,1300,2,1100,3,90,SCI-FI UI PACK_V1 PRO(Blue)/Textures/SciFiBgs(2K)/SciFiBg010_Blue
22009,9스테이지,600,60,1.7,0.9,1,1400,2,1200,3,100,SCI-FI UI PACK_V1 PRO(Blue)/Textures/SciFiBgs(2K)/SciFiBg003_Blue
22010,10스테이지,600,60,1.7,1.1,1,1500,2,1300,3,110,SCI-FI UI PACK_V2 PRO(CYAN)/Textures/SciFiBgs(2K)/SciFiBg010_Cyan
