id,//tower_name,tower_id,item_ID,tower_grade,L_piece_count,M_piece_count,H_piece_count
290001,솔라레이저,2001,2420019,25101,1,2,3
290001,솔라레이저,2001,2420019,25202,2,3,4
290001,솔라레이저,2001,2420019,25303,3,5,7
290001,솔라레이저,2001,2420019,25404,5,7,9
290001,솔라레이저,2001,2420019,25505,7,9,10
290002,다크레이저,2002,2420020,25101,1,2,3
290002,다크레이저,2002,2420020,25202,2,3,4
290002,다크레이저,2002,2420020,25303,3,5,7
290002,다크레이저,2002,2420020,25404,5,7,9
290002,다크레이저,2002,2420020,25505,7,9,10
290003,헬파이어건,2003,2420021,25101,1,2,3
290003,헬파이어건,2003,2420021,25202,2,3,4
290003,헬파이어건,2003,2420021,25303,3,5,7
290003,헬파이어건,2003,2420021,25404,5,7,9
290003,헬파이어건,2003,2420021,25505,7,9,10
290004,프로스트리피터,2004,2420022,25101,1,2,3
290004,프로스트리피터,2004,2420022,25202,2,3,4
290004,프로스트리피터,2004,2420022,25303,3,5,7
290004,프로스트리피터,2004,2420022,25404,5,7,9
290004,프로스트리피터,2004,2420022,25505,7,9,10
290005,버스트 블래스터,2005,2420023,25101,1,2,3
290005,버스트 블래스터,2005,2420023,25202,2,3,4
290005,버스트 블래스터,2005,2420023,25303,3,5,7
290005,버스트 블래스터,2005,2420023,25404,5,7,9
290005,버스트 블래스터,2005,2420023,25505,7,9,10
290006,쉐도우 버스터,2006,2420024,25101,1,2,3
290006,쉐도우 버스터,2006,2420024,25202,2,3,4
290006,쉐도우 버스터,2006,2420024,25303,3,5,7
290006,쉐도우 버스터,2006,2420024,25404,5,7,9
290006,쉐도우 버스터,2006,2420024,25505,7,9,10
290007,볼케이노 런처,2007,2420025,25101,1,2,3
290007,볼케이노 런처,2007,2420025,25202,2,3,4
290007,볼케이노 런처,2007,2420025,25303,3,5,7
290007,볼케이노 런처,2007,2420025,25404,5,7,9
290007,볼케이노 런처,2007,2420025,25505,7,9,10
290008,아이스레인저,2008,2420026,25101,1,2,3
290008,아이스레인저,2008,2420026,25202,2,3,4
290008,아이스레인저,2008,2420026,25303,3,5,7
290008,아이스레인저,2008,2420026,25404,5,7,9
290008,아이스레인저,2008,2420026,25505,7,9,10
290009,루미나 스나이퍼,2009,2420027,25101,1,2,3
290009,루미나 스나이퍼,2009,2420027,25202,2,3,4
290009,루미나 스나이퍼,2009,2420027,25303,3,5,7
290009,루미나 스나이퍼,2009,2420027,25404,5,7,9
290009,루미나 스나이퍼,2009,2420027,25505,7,9,10
290010,스틸 리퍼,2010,2420028,25101,1,2,3
290010,스틸 리퍼,2010,2420028,25202,2,3,4
290010,스틸 리퍼,2010,2420028,25303,3,5,7
290010,스틸 리퍼,2010,2420028,25404,5,7,9
290010,스틸 리퍼,2010,2420028,25505,7,9,10
290011,마그마 봄버,2011,2420029,25101,1,2,3
290011,마그마 봄버,2011,2420029,25202,2,3,4
290011,마그마 봄버,2011,2420029,25303,3,5,7
290011,마그마 봄버,2011,2420029,25404,5,7,9
290011,마그마 봄버,2011,2420029,25505,7,9,10
290012,프로스트 봄버,2012,2420030,25101,1,2,3
290012,프로스트 봄버,2012,2420030,25202,2,3,4
290012,프로스트 봄버,2012,2420030,25303,3,5,7
290012,프로스트 봄버,2012,2420030,25404,5,7,9
290012,프로스트 봄버,2012,2420030,25505,7,9,10
290013,아이언 마인,2013,2420031,25101,1,2,3
290013,아이언 마인,2013,2420031,25202,2,3,4
290013,아이언 마인,2013,2420031,25303,3,5,7
290013,아이언 마인,2013,2420031,25404,5,7,9
290013,아이언 마인,2013,2420031,25505,7,9,10
290014,블랙마인,2014,2420032,25101,1,2,3
290014,블랙마인,2014,2420032,25202,2,3,4
290014,블랙마인,2014,2420032,25303,3,5,7
290014,블랙마인,2014,2420032,25404,5,7,9
290014,블랙마인,2014,2420032,25505,7,9,10
290015,서지리엑터,2015,2420033,25101,1,2,3
290015,서지리엑터,2015,2420033,25202,2,3,4
290015,서지리엑터,2015,2420033,25303,3,5,7
290015,서지리엑터,2015,2420033,25404,5,7,9
290015,서지리엑터,2015,2420033,25505,7,9,10
290016,쉐도우 서지,2016,2420034,25101,1,2,3
290016,쉐도우 서지,2016,2420034,25202,2,3,4
290016,쉐도우 서지,2016,2420034,25303,3,5,7
290016,쉐도우 서지,2016,2420034,25404,5,7,9
290016,쉐도우 서지,2016,2420034,25505,7,9,10
290017,그래비티 필드,23001,2420035,25101,1,2,3
290017,그래비티 필드,23001,2420035,25202,2,3,4
290017,그래비티 필드,23001,2420035,25303,3,5,7
290017,그래비티 필드,23001,2420035,25404,5,7,9
290017,그래비티 필드,23001,2420035,25505,7,9,10
290018,그래비티 싱크,23002,2420036,25101,1,2,3
290018,그래비티 싱크,23002,2420036,25202,2,3,4
290018,그래비티 싱크,23002,2420036,25303,3,5,7
290018,그래비티 싱크,23002,2420036,25404,5,7,9
290018,그래비티 싱크,23002,2420036,25505,7,9,10
290019,딜레이 필드,23003,2420037,25101,1,2,3
290019,딜레이 필드,23003,2420037,25202,2,3,4
290019,딜레이 필드,23003,2420037,25303,3,5,7
290019,딜레이 필드,23003,2420037,25404,5,7,9
290019,딜레이 필드,23003,2420037,25505,7,9,10
290020,어비스 코어,23004,2420038,25101,1,2,3
290020,어비스 코어,23004,2420038,25202,2,3,4
290020,어비스 코어,23004,2420038,25303,3,5,7
