PROMOTION_TOWER_ID,INGREDITEM1,INGREDITEM_COUNT1,INGREDITEM2,INGREDITEM2_COUNT,MIN_VALUE,MAX_VALUE
3020011,2001,1,2420019,10,3,9
3020012,3020011,1,2420019,20,3,11
3020013,3020012,1,2420019,40,3,13
3020014,3020013,1,2420019,80,3,15
3020015,3020014,1,2420019,160,3,17
3020021,2002,1,2420020,10,4,14
3020022,3020021,1,2420020,20,4,16
3020023,3020022,1,2420020,40,4,18
3020024,3020023,1,2420020,80,4,20
3020025,3020024,1,2420020,160,4,22
3020031,2003,1,2420021,10,5,15
3020032,3020031,1,2420021,20,5,17
3020033,3020032,1,2420021,40,5,19
3020034,3020033,1,2420021,80,5,21
3020035,3020034,1,2420021,160,5,23
3020041,2004,1,2420022,10,4,12
3020042,3020041,1,2420022,20,4,14
3020043,3020042,1,2420022,40,4,16
3020044,3020043,1,2420022,80,4,18
3020045,3020044,1,2420022,160,4,20
3020051,2005,1,2420023,10,3,10
3020052,3020051,1,2420023,20,3,12
3020053,3020052,1,2420023,40,3,14
3020054,3020053,1,2420023,80,3,16
3020055,3020054,1,2420023,160,3,18
3020061,2006,1,2420024,10,6,18
3020062,3020061,1,2420024,20,6,20
3020063,3020062,1,2420024,40,6,22
3020064,3020063,1,2420024,80,6,24
3020065,3020064,1,2420024,160,6,26
3020071,2007,1,2420025,10,5,19
3020072,3020071,1,2420025,20,5,21
3020073,3020072,1,2420025,40,5,23
3020074,3020073,1,2420025,80,5,25
3020075,3020074,1,2420025,160,5,27
3020081,2008,1,2420026,10,7,20
3020082,3020081,1,2420026,20,7,22
3020083,3020082,1,2420026,40,7,24
3020084,3020083,1,2420026,80,7,26
3020085,3020084,1,2420026,160,7,28
3020091,2009,1,2420027,10,4,11
3020092,3020091,1,2420027,20,4,13
3020093,3020092,1,2420027,40,4,15
3020094,3020093,1,2420027,80,4,17
3020095,3020094,1,2420027,160,4,19
3020101,2010,1,2420028,10,5,16
3020102,3020101,1,2420028,20,5,18
3020103,3020102,1,2420028,40,5,20
3020104,3020103,1,2420028,80,5,22
3020105,3020104,1,2420028,160,5,24
3020111,2011,1,2420029,10,6,17
3020112,3020111,1,2420029,20,6,19
3020113,3020112,1,2420029,40,6,21
3020114,3020113,1,2420029,80,6,23
3020115,3020114,1,2420029,160,6,25
3020121,2012,1,2420030,10,8,20
3020122,3020121,1,2420030,20,8,22
3020123,3020122,1,2420030,40,8,24
3020124,3020123,1,2420030,80,8,26
3020125,3020124,1,2420030,160,8,28
3020131,2013,1,2420031,10,3,9
3020132,3020131,1,2420031,20,3,11
3020133,3020132,1,2420031,40,3,13
3020134,3020133,1,2420031,80,3,15
3020135,3020134,1,2420031,160,3,17
3020141,2014,1,2420032,10,6,18
3020142,3020141,1,2420032,20,6,20
3020143,3020142,1,2420032,40,6,22
3020144,3020143,1,2420032,80,6,24
3020145,3020144,1,2420032,160,6,26
3020151,2015,1,2420033,10,4,13
3020152,3020151,1,2420033,20,4,15
3020153,3020152,1,2420033,40,4,17
3020154,3020153,1,2420033,80,4,19
3020155,3020154,1,2420033,160,4,21
3020161,2016,1,2420034,10,9,20
3020162,3020161,1,2420034,20,9,22
3020163,3020162,1,2420034,40,9,24
3020164,3020163,1,2420034,80,9,26
3020165,3020164,1,2420034,160,9,28
30230011,23001,1,2420035,10,3,13
30230012,30230011,1,2420035,20,3,15
30230013,30230012,1,2420035,40,3,17
30230014,30230013,1,2420035,80,3,19
30230015,30230014,1,2420035,160,3,21
30230021,23002,1,2420036,10,5,15
30230022,30230021,1,2420036,20,5,17
30230023,30230022,1,2420036,40,5,19
30230024,30230023,1,2420036,80,5,21
30230025,30230024,1,2420036,160,5,23
30230031,23003,1,2420037,10,4,14
30230032,30230031,1,2420037,20,4,16
30230033,30230032,1,2420037,40,4,18
30230034,30230033,1,2420037,80,4,20
30230035,30230034,1,2420037,160,4,22
30230041,23004,1,2420038,10,6,16
30230042,30230041,1,2420038,20,6,18
30230043,30230042,1,2420038,40,6,20
30230044,30230043,1,2420038,80,6,22
30230045,30230044,1,2420038,160,6,24
30230051,23005,1,2420039,10,3,12
30230052,30230051,1,2420039,20,3,14
30230053,30230052,1,2420039,40,3,16
30230054,30230053,1,2420039,80,3,18
30230055,30230054,1,2420039,160,3,20
30230061,23006,1,2420040,10,4,13
30230062,30230061,1,2420040,20,4,15
30230063,30230062,1,2420040,40,4,17
30230064,30230063,1,2420040,80,4,19
30230065,30230064,1,2420040,160,4,21
30230071,23007,1,2420041,10,6,17
30230072,30230071,1,2420041,20,6,19
30230073,30230072,1,2420041,40,6,21
30230074,30230073,1,2420041,80,6,23
30230075,30230074,1,2420041,160,6,25
30230081,23008,1,2420042,10,7,18
30230082,30230081,1,2420042,20,7,20
30230083,30230082,1,2420042,40,7,22
30230084,30230083,1,2420042,80,7,24
30230085,30230084,1,2420042,160,7,26
