random_ID,//tower_name,tower_ID,random_min,tower_grade_ID_1,1_random_max,tower_grade_ID_2,2_random_max,tower_grade_ID_3,3_random_max,tower_grade_ID_4,4_random_max,tower_grade_ID_5,5_random_max
28001,솔라레이저,2001,3,25101,9,25202,11,25303,13,25404,15,25505,17
28002,다크레이저,2002,4,25101,14,25202,16,25303,18,25404,20,25505,22
28003,헬파이어건,2003,5,25101,15,25202,17,25303,19,25404,21,25505,23
28004,프로스트리피터,2004,4,25101,12,25202,14,25303,16,25404,18,25505,20
28005,버스트 블래스터,2005,3,25101,10,25202,12,25303,14,25404,16,25505,18
28006,쉐도우 버스터,2006,6,25101,18,25202,20,25303,22,25404,24,25505,26
28007,볼케이노 런처,2007,5,25101,19,25202,21,25303,23,25404,25,25505,27
28008,아이스레인저,2008,7,25101,20,25202,22,25303,24,25404,26,25505,28
28009,루미나 스나이퍼,2009,4,25101,11,25202,13,25303,15,25404,17,25505,19
28010,스틸 리퍼,2010,5,25101,16,25202,18,25303,20,25404,22,25505,24
28011,마그마 봄버,2011,6,25101,17,25202,19,25303,21,25404,23,25505,25
28012,프로스트 봄버,2012,8,25101,20,25202,22,25303,24,25404,26,25505,28
28013,아이언 마인,2013,3,25101,9,25202,11,25303,13,25404,15,25505,17
28014,블랙마인,2014,6,25101,18,25202,20,25303,22,25404,24,25505,26
28015,서지리엑터,2015,4,25101,13,25202,15,25303,17,25404,19,25505,21
28016,쉐도우 서지,2016,9,25101,20,25202,22,25303,24,25404,26,25505,28
28017,그래비티 필드,23001,3,25101,13,25202,15,25303,17,25404,19,25505,21
28018,그래비티 싱크,23002,5,25101,15,25202,17,25303,19,25404,21,25505,23
28019,딜레이 필드,23003,4,25101,14,25202,16,25303,18,25404,20,25505,22
28020,어비스 코어,23004,6,25101,16,25202,18,25303,20,25404,22,25505,24
28021,디펜스 드론,23005,3,25101,12,25202,14,25303,16,25404,18,25505,20
28022,리펄서,23006,4,25101,13,25202,15,25303,17,25404,19,25505,21
28023,쇼크 웨이브,23007,6,25101,17,25202,19,25303,21,25404,23,25505,25
28024,카오스 비컨,23008,7,25101,18,25202,20,25303,22,25404,24,25505,26
