ID,Order,TutorialStep,TutorialAreaPosition,ClipType,Clip1,Clip2,Clip3,TutorialText,BackGroundLayoutRayCast,CanNextPlay,TargetButtonID,TutorialType,TimeScale
1,1,3,2,5,0,1,2,"버턴트 프로토콜의 지휘관님 환영합니다.\n가장 기본적인 임무인 전투에 대해 알려드리겠습니다.\n하단의 전투 버튼을 터치하세요.",false,false,1,0,1
2,2,3,2,,,,,,false,false,2,0,1
3,3,3,2,,,,,,false,false,3,0,1
4,4,3,2,,,,,,false,false,4,0,1
5,1,2,2,1,0,1,,"스테이지 입장 시\n공격형 타워 하나를 선택할 수 있습니다.\n활성화 시킬 타워를 선택하세요",false,false,,1,1
6,3,2,4,1,2,3,,"가상의 조이스틱을 조작해 방어위성을 움직일 수 있습니다.\n원거리 적이 발사하는 투사체는 방어위성으로 막을 수 있고, 근거리 적은 그대로 통과됩니다.",false,false,,1,1
7,4,2,4,1,4,,,"불-금속-냉기-불 순으로 상성이 돌고\n빛과 어둠은 서로에게 강합니다",false,true,,0,0
8,5,2,4,1,5,,,"유리한 속성 공격은 1.5배,\n불리한 속성 공격은 0.5배의 피해가 적용됩니다",false,true,,0,0
9,6,2,4,,,,,,false,false,,1,1
10,7,2,4,1,6,,,레벨이 오를 때마다 선택창에서 타워를 선택하거나 강화시킬 수 있습니다,false,false,,1,0
11,8,2,4,1,7,8,9,마지막 웨이브에서는 보스가 등장합니다\n다른 적들과 달리 강하며 패턴을 가지고 있고\n보스를 처치하면 스테이지를 클리어하게 됩니다,false,false,,1,0
12,1,4,2,2,0,1,,플레이하고 얻은 재화를 통해 새로운 행성과 타워를 뽑을 수 있습니다.\n뽑기 탭을 선택하세요,false,false,6,0,1
13,2,4,3,2,2,3,4,우선 새로운 행성을 찾아봅시다.\n1회 뽑기를 선택하세요\n탐사 비용을 지원해드리겠습니다.,false,false,7,0,1
14,3,4,3,,,,,,false,false,8,0,1
15,4,4,3,,,,,,false,false,9,0,1
16,5,4,3,2,5,,,행성은 바로 전투에서 사용할 수 있으며\n행성 조각은 일정 갯수를 모아 완성된 행성을\n만들 수 있습니다.,true,true,,1,1
18,1,5,3,,,,,,false,false,10,0,1
19,2,5,3,2,6,7,,다음은 새로운 타워입니다.\n1회 뽑기을 눌러보세요,false ,false,11,0,1
20,3,5,3,,,,,,false,false,8,0,1
21,4,5,3,,,,,,false,false,12,0,1
22,5,5,3,2,8,,,타워는 배치 시 다른 다른 타워에 버프를 줄 수 있는\n기능이 있습니다. 버프 수치는 랜덤입니다.,true,true,,0,1
23,6,5,3,2,9,10,,행성과 마찬가지로 부품을 모아 등급을 올릴 수 있습니다.\n타워 조각은 중복 타워를 뽑았을 때\n랜덤 버프 수치가 보유 타워보다 낮다면 얻을 수 있습니다.,true,true,,1,1
24,1,6,2,2,11,12,,방금 얻은 행성과 타워의 정보가 저장되었습니다.\n정보는 도감 탭에서 확인할 수 있습니다.,false,false,13,0,1
25,2,6,4,2,13,,,"도감에서는 행성과 타워 정보, 프리셋을 관리 할 수 있습니다.",true,true,,0,1
26,3,6,4,2,14,,,행성 탭의 행성 카드를 터치하면 해당 행성의 상세 정보페이지를 볼 수 있습니다.,false,false,,1,1
27,4,6,4,2,15,,,"상세페이지에서는 행성의 정보 확인은 물론\n행성의 레벨 업, 승급 진행을 할 수 있습니다.",false,false,15,0,1
28,5,6,4,2,16,17,,다음은 타워 정보를 확인하겠습니다.\n타워 탭을 터치하세요.,false,false,16,0,1
29,6,6,4,2,18,,,타워 탭의 타워 카드를 터치하면 해당 타워의 상세 정보페이지를 볼 수 있습니다.,true,true,,0,1
30,7,6,4,2,19,,,"타워 탭 또한 마찬가지로\n타워의 정보, 승급을 상세페이지에서 관리할 수 있습니다.",true,true,,0,1
31,8,6,4,2,20,,,마지막으로 배치를 관리하는 프리셋 탭을 터치해보세요.,false,false,18,0,1
32,9,6,4,2,22,,,전투에 진입하지 않아도\n이곳에서 배치 전략을 짤 수 있습니다.,false,true,,1,1
33,1,1,3,4,0,1,,편집 버튼을 터치하면 프리셋을 편집할 수 있는 화면으로 넘어갑니다\n프리셋 편집을 진행해보세요,false,false,,1,1
34,2,1,2,4,2,,,이 곳에서는 현재 프리셋에 저장할 행성을 선택할 수 있습니다.,true,true,,0,1
35,3,1,2,4,3,,,아래에서 행성의 정보를 확인할 수 있고\n선택 완료를 터치하면 타워 배치 화면으로 넘어갑니다.,false,false,19,0,1
36,4,1,3,4,5,6,,타워를 배치할 수 있는 총 12개의 슬롯입니다\n선택된 슬롯은 크기가 커진 하이라이트 효과가 적용되어 현재 선택 위치를 명확히 보여줍니다,false,true,,0,1
37,5,1,3,4,7,8,,잠겨 있는 슬롯은 비활성화 된 슬롯입니다\n행성 승급을 통해 슬롯을 해금할 수 있습니다,false,true,,0,1
38,6,1,3,4,11,,,보유 타워 목록 중 하나를 꾹 누르면 타워의 상세정보를 확인할 수 있는 창이 열립니다,false,true,,0,1
39,7,1,3,4,9,10,,슬롯에 타워를 배치한 경우 보유 타워 목록 타워에 배치된 슬롯의 번호가 표시됩니다\n또한 배치된 타워가 주는 배치 버프는 파란 화살표로 표기되고 받는 버프는 하얀 화살표로 표시되어 어떤 버프를 주고 받는지 알 수 있습니다.,false,true,,1,1
40,1,8,4,3,0,1,,"테라포밍 게이지가 20%, 45%, 75%, 100%에\n도달할 때마다 패시브를 선택할 수 있습니다\n한 번 선택한 패시브는 스테이지가 종료될 때까지 변경할 수 없습니다",false,true,,1,0
41,2,8,4,3,2,3,,스테이지를 진행하면서 일정 웨이브마다 등장하는 엘리트 몬스터입니다.\n엘리트 몬스터는 일반 적들보다 공격력과 체력이 높은 대신\n처치 시 타워 슬릇을 강화시킬 수 있습니다,false,true,,1,0
